question,answer,context
List all products along with their prices.,"SELECT name, price FROM Products;","Products (product_id, name, price, stock_quantity)"
Retrieve the total number of products in stock.,SELECT SUM(stock_quantity) AS total_stock FROM Products;,"Products (product_id, name, price, stock_quantity)"
Show all orders along with the corresponding order dates.,"SELECT order_id, order_date FROM Orders;","Orders (order_id, customer_id, order_date)"
Display the names of customers who placed orders.,"SELECT DISTINCT c.first_name, c.last_name FROM Orders o JOIN Customers c ON o.customer_id = c.customer_id;","Orders (order_id, customer_id, order_date), Customers (customer_id, first_name, last_name)"
List all products along with their quantities ordered.,"SELECT p.name, oi.quantity FROM Order_Items oi JOIN Products p ON oi.product_id = p.product_id;","Order_Items (order_item_id, order_id, product_id, quantity, unit_price), Products (product_id, name)"
Retrieve the total number of orders placed.,SELECT COUNT(order_id) AS total_orders FROM Orders;,"Orders (order_id, customer_id, order_date)"
Show the total amount spent by each customer.,"SELECT o.customer_id, SUM(oi.quantity * oi.unit_price) AS total_spent FROM Orders o JOIN Order_Items oi ON o.order_id = oi.order_id GROUP BY o.customer_id;","Orders (order_id, customer_id, order_date), Order_Items (order_item_id, order_id, product_id, quantity, unit_price)"
List all products along with their quantities in stock and prices.,"SELECT name, stock_quantity, price FROM Products;","Products (product_id, name, price, stock_quantity)"
Show the orders placed on 13-06-2023.,SELECT * FROM Orders WHERE order_date = '13-06-2023';,"Orders (order_id, customer_id, order_date)"
Display the total revenue generated from product sales.,SELECT SUM(quantity * unit_price) AS total_revenue FROM Order_Items;,"Order_Items (order_item_id, order_id, product_id, quantity, unit_price)"
List all customers who have placed orders along with their contact information.,"SELECT c.first_name, c.last_name, c.email, c.phone FROM Customers c JOIN Orders o ON c.customer_id = o.customer_id;","Customers (customer_id, first_name, last_name, email, phone), Orders (order_id, customer_id, order_date)"
Show the total quantity of each product sold.,"SELECT product_id, SUM(quantity) AS total_quantity_sold FROM Order_Items GROUP BY product_id;","Order_Items (order_item_id, order_id, product_id, quantity, unit_price)"
Display the orders placed by a specific customer 154.,SELECT * FROM Orders WHERE customer_id = '154';,"Orders (order_id, customer_id, order_date)"
List all products sorted by their prices in descending order.,SELECT * FROM Products ORDER BY price DESC;,"Products (product_id, name, price, stock_quantity)"
Retrieve the average price of all products.,SELECT AVG(price) AS average_price FROM Products;,"Products (product_id, name, price, stock_quantity)"
Show the orders placed within a specific date range '15-01-2024' AND '15-03-2024'.,SELECT * FROM Orders WHERE order_date BETWEEN '15-01-2024' AND '15-03-2024';,"Orders (order_id, customer_id, order_date)"
Display the customers who spent more than 10000.,"SELECT c.customer_id, c.first_name, c.last_name, SUM(oi.quantity * oi.unit_price) AS total_spent FROM Customers c JOIN Orders o ON c.customer_id = o.customer_id JOIN Order_Items oi ON o.order_id = oi.order_id GROUP BY c.customer_id HAVING SUM(oi.quantity * oi.unit_price) > '10000';","Orders (order_id, customer_id, order_date), Order_Items (order_item_id, order_id, product_id, quantity, unit_price)"
List all orders along with the products ordered and their quantities.,"SELECT o.order_id, p.name AS product_name, oi.quantity FROM Orders o JOIN Order_Items oi ON o.order_id = oi.order_id JOIN Products p ON oi.product_id = p.product_id;","Orders (order_id, customer_id, order_date), Order_Items (order_item_id, order_id, product_id, quantity, unit_price), Products (product_id, name)"
Show the top 5 customers who spent the most.,"SELECT c.customer_id, c.first_name, c.last_name, SUM(oi.quantity * oi.unit_price) AS total_spent FROM Customers c JOIN Orders o ON c.customer_id = o.customer_id JOIN Order_Items oi ON o.order_id = oi.order_id GROUP BY c.customer_id ORDER BY total_spent DESC LIMIT 5;","Customers (customer_id, first_name, last_name, email, phone), Orders (order_id, customer_id, order_date), Order_Items (order_item_id, order_id, product_id, quantity, unit_price)"
Display the orders with a total amount greater than 30000.,"SELECT o.order_id, SUM(oi.quantity * oi.unit_price) AS total_amount FROM Orders o JOIN Order_Items oi ON o.order_id = oi.order_id GROUP BY o.order_id HAVING total_amount > '30000';","Orders (order_id, customer_id, order_date), Order_Items (order_item_id, order_id, product_id, quantity, unit_price)"
"List all products along with their prices and quantities in stock, sorted by their names alphabetically.","SELECT name, price, stock_quantity FROM Products ORDER BY name;","Products (product_id, name, price, stock_quantity)"
Retrieve the total number of customers in the database.,SELECT COUNT(customer_id) AS total_customers FROM Customers;,"Customers (customer_id, first_name, last_name, email, phone)"
Show the orders placed on weekends.,"SELECT * FROM Orders WHERE EXTRACT(DOW FROM order_date) IN (0, 6);","Orders (order_id, customer_id, order_date)"
Display the customers who have not placed any orders.,SELECT c.* FROM Customers c LEFT JOIN Orders o ON c.customer_id = o.customer_id WHERE o.order_id IS NULL;,"Customers (customer_id, first_name, last_name, email, phone), Orders (order_id, customer_id, order_date)"
List all products with prices above 15000.,SELECT * FROM Products WHERE price > '15000';,"Products (product_id, name, price, stock_quantity)"
Retrieve the total revenue generated from each category of products.,"SELECT p.category_id, SUM(oi.quantity * oi.unit_price) AS total_revenue FROM Products p JOIN Order_Items oi ON p.product_id = oi.product_id GROUP BY p.category_id;","Products (product_id, name, price, stock_quantity, category_id), Order_Items (order_item_id, order_id, product_id, quantity, unit_price)"
Show the orders placed by customers with gmail email domain.,SELECT o.* FROM Orders o JOIN Customers c ON o.customer_id = c.customer_id WHERE c.email LIKE '%@gmail.com';,"Customers (customer_id, first_name, last_name, email, phone), Orders (order_id, customer_id, order_date)"
Display the orders placed by customers from Kolkata.,SELECT o.* FROM Orders o JOIN Customers c ON o.customer_id = c.customer_id WHERE c.city = 'Kolkata';,"Customers (customer_id, first_name, last_name, email, phone, city), Orders (order_id, customer_id, order_date)"
List all products along with their categories.,"SELECT p.name AS product_name, c.name AS category_name FROM Products p JOIN Categories c ON p.category_id = c.category_id;","Products (product_id, name, price, stock_quantity, category_id), Categories (category_id, name)"
List all products that are out of stock.,SELECT * FROM Products WHERE stock_quantity = 0;,"Products (product_id, name, price, stock_quantity)"
Retrieve the total number of unique customers who have placed orders.,SELECT COUNT(DISTINCT customer_id) AS unique_customers FROM Orders;,"Orders (order_id, customer_id, order_date)"
Show the average quantity of products ordered per order.,SELECT AVG(quantity) AS avg_quantity_ordered FROM Order_Items;,"Order_Items (order_item_id, order_id, product_id, quantity, unit_price)"
Display the orders placed by customers in India.,SELECT o.* FROM Orders o JOIN Customers c ON o.customer_id = c.customer_id WHERE c.country = India;,"Customers (customer_id, first_name, last_name, email, phone, country), Orders (order_id, customer_id, order_date)"
"List all products along with their prices and quantities in stock, sorted by their prices in descending order.","SELECT name, price, stock_quantity FROM Products ORDER BY price DESC;","Products (product_id, name, price, stock_quantity)"
Retrieve the total revenue generated from orders placed in April.,SELECT SUM(oi.quantity * oi.unit_price) AS total_revenue FROM Orders o JOIN Order_Items oi ON o.order_id = oi.order_id WHERE EXTRACT(MONTH FROM o.order_date) ='04';,"Orders (order_id, customer_id, order_date), Order_Items (order_item_id, order_id, product_id, quantity, unit_price)"
Show the products with prices within 1500 and 20000.,SELECT * FROM Products WHERE price BETWEEN ‘1500’ AND ‘20000’;,"Products (product_id, name, price, stock_quantity)"
Display the orders placed by customers with phone number prefix 95.,SELECT o.* FROM Orders o JOIN Customers c ON o.customer_id = c.customer_id WHERE c.phone LIKE ‘95%’;,"Customers (customer_id, first_name, last_name, email, phone), Orders (order_id, customer_id, order_date)"
"List all products along with the categories they belong to, sorted alphabetically by category name.","SELECT p.name AS product_name, c.name AS category_name FROM Products p JOIN Categories c ON p.category_id = c.category_id ORDER BY c.name;","Products (product_id, name, price, stock_quantity, category_id), Categories (category_id, name)"
Retrieve the total number of orders placed on weekdays.,SELECT COUNT(*) AS total_weekday_orders FROM Orders WHERE EXTRACT(DOW FROM order_date) BETWEEN 1 AND 5;,"Orders (order_id, customer_id, order_date)"
Show the customers who have placed orders more than once.,SELECT c.* FROM Customers c JOIN Orders o ON c.customer_id = o.customer_id GROUP BY c.customer_id HAVING COUNT(o.order_id) > 1;,"Orders (order_id, customer_id, order_date)"
Display the products with a price lower than 5000.,SELECT * FROM Products WHERE price < '5000';,"Products (product_id, name, price, stock_quantity)"
List all orders along with the total quantity of products ordered in each order.,"SELECT o.order_id, SUM(oi.quantity) AS total_quantity_ordered FROM Orders o JOIN Order_Items oi ON o.order_id = oi.order_id GROUP BY o.order_id;","Orders (order_id, customer_id, order_date), Order_Items (order_item_id, order_id, product_id, quantity, unit_price)"
